"Bandamanna"	"Bárðar"	"Bjarnar"	"Brennu-Njáls"	"Droplaugarsona"	"Egla"	"Eiríks"	"Eyrbyggja"	"Finnboga"	"Fljótsdæla"	"Flóamanna"	"Fóstbræðra"	"Gísla Súrssonar L"	"Gísla Súrssonar S"	"Grænlendinga þáttur"	"Grænlendinga"	"Grettis"	"Gull-Þóris"	"Gunnars"	"Gunnlaugs"	"Hænsna-Þóris "	"Hallfreðar M"	"Hallfreðar Ó"	"Harðar og Hólmverja"	"Hávarðar"	"Heiðarvíga"	"Heimskringla"	"Hrafnkels"	"Jökuls þ"	"Kjalnesinga"	"Kormáks"	"Króka-Refs"	"Landnámabók"	"Laxdæla"	"Ljósvetninga A"	"Ljósvetninga C"	"Ölkofra"	"Reykdæla"	"Sturlunga"	"Svarfdæla"	"Þórðar hreðu"	"Þorsteins hvíta"	"Þorsteins S"	"Valla-Ljóts"	"Vatnsdæla "	"Víga-Glúms "	"Víglundar"	"Vopnfirðinga"
"Flóamanna"	1.02281696712773	0.815744160945812	0.760686983945957	0.806704396004735	0.926048191424597	0.829679898240401	0.907649404095217	0.755984345078099	0.750882925766798	0.81538459556467	0	0.806391783867988	0.732585580729745	0.758883934297585	1.0643669820653	1.03430155117525	0.720963439314044	0.995249827544785	0.99137111674187	0.852939274784518	0.993068355968455	0.834487831524832	0.769437272832689	0.711309539096175	0.866002084701855	0.886218161125704	0.980352552004755	0.989334865185461	1.16771856921404	0.868414431238468	0.793738821403209	0.922427524597324	1.29185066628714	0.740535164597973	0.914889443371667	0.83056970965085	1.23068398302485	0.863400730156057	0.848673647493399	0.797485855898495	0.857885152538676	1.03151264494946	1.00990292796963	0.93440361275435	0.689517219587629	0.78498753783985	0.912270404275049	0.805467743723551
"Fóstbræðra"	0.968414898187493	0.847843992310622	0.802102524071354	0.762383095292943	0.969200846079856	0.819129999406735	0.891117250975545	0.786854562944189	0.796965928986429	0.706517290303867	0.806391783867988	0	0.72023756303338	0.732998569124005	1.11847087956932	1.04914842753762	0.685625814189276	1.02592848198394	1.04228884178162	0.932806751921732	0.940289320336832	0.872472154046936	0.811731057866731	0.803409946523071	0.765688632013463	0.817450276834561	0.969828150135947	0.927962133347638	1.13980715578225	0.892588627976211	0.897769266773882	0.777462841452591	1.34355491888897	0.702574156217444	0.890710681832895	0.73868854757038	1.24003757264155	0.965356298250811	0.911446672058276	0.755868132248059	0.857652353897464	1.10873052049054	1.03555514501834	0.981102867008803	0.731904801060477	0.781708118167239	0.973256186479934	0.832861561746061
"Gísla Súrssonar L"	0.882240856198378	0.86369858747124	0.773515873944141	0.770792875540491	0.964758293996462	0.860542397177864	0.991878606744241	0.827713125930202	0.785119760107277	0.655532692399303	0.732585580729745	0.72023756303338	0	0.392507686735547	1.16268319068354	1.06806987006917	0.765697081560609	1.09336767929993	1.0945846202941	0.936317015936577	0.844186685881035	0.879555194515906	0.854435250779826	0.795422208754018	0.769804492498261	0.741063618994537	1.01862379211149	0.884428647965977	1.1384271573211	0.909557366689231	0.856439584450803	0.811533172021516	1.36516617302574	0.707805657062545	0.901757458383943	0.781749269922655	1.19078738677038	0.852616963678288	0.97145363076993	0.786563024962571	0.86527078316799	1.13285487998567	1.00963158994308	0.933681415609097	0.72417771840164	0.785624561459628	0.959990762986488	0.842003121047531
"Gísla Súrssonar S"	0.891385528504083	0.872011214637971	0.82164866997308	0.821936498410426	0.976597467864169	0.927845900883428	1.00555018126582	0.891057294367611	0.816411568363746	0.665645579374435	0.758883934297585	0.732998569124005	0.392507686735547	0	1.14755356854109	1.0905672961295	0.797079521698441	1.12976070991478	1.09825885151803	0.999261695989186	0.869088310698204	0.918258758764693	0.892663661424157	0.800685156891555	0.79220229391952	0.774252523147423	1.08612313815086	0.902373003914085	1.14167793476733	0.95361134282717	0.921312078030526	0.835733203974235	1.40095629507171	0.782553022182204	0.962326860488256	0.822042909031307	1.22556520886574	0.85643814364304	1.01168617250285	0.77973195248341	0.877842187178957	1.12074873354343	1.03813020574704	0.923322614812311	0.761358755950645	0.796196717352366	0.973592336432148	0.853103014466026
"Grænlendinga þáttur"	1.225454372794	1.21601240351425	1.09754400830893	1.08180606679635	1.28037199933602	1.12074140251975	1.17579952285018	1.11451276406118	1.12345339363724	1.16980718121441	1.0643669820653	1.11847087956932	1.16268319068354	1.14755356854109	0	1.25606045213368	1.05769380379442	1.25457101206158	1.35813968982188	1.27147197415199	1.23392717925174	1.1479067527811	1.11318869512986	1.08502630912806	1.11498439632975	1.14957309999944	1.22218906513632	1.23939298261833	1.45743468342431	1.19052439158735	1.20068948059969	1.123971037858	1.55139417964976	1.06553074395585	1.18305349767679	1.04258678615542	1.30403926061206	1.16664149445608	1.13596816869752	1.1617335463998	1.2222336596516	1.32461843793507	1.27805496096728	1.15027831565223	0.979290979277639	1.10260483297189	1.2468786647449	1.11030784989593
"Grænlendinga"	1.3378738890757	1.0087506100865	1.11819187950871	1.1023835139141	1.112447924434	0.965714628419856	1.02809090226981	0.984430913074872	1.12756446452578	1.11321785212886	1.03430155117525	1.04914842753762	1.06806987006917	1.0905672961295	1.25606045213368	0	1.02604216459548	1.15368601607685	1.15050350207124	1.22007268882998	1.24973897282409	1.1703509367895	1.1174352916932	0.99767790884107	1.12509009596372	1.16747746927629	1.06419072335134	1.25235319705418	1.31406373993218	1.0902131581544	1.14941237143178	1.11634398470562	1.39969759413211	1.04612908871086	1.23808459994388	1.12258040340562	1.38964131716415	1.195739936387	1.0964009748012	1.06586325024979	1.13422892527371	1.21225588709392	1.27965952328176	1.31336317453802	1.02563820544742	1.12289184883508	1.16590280760815	1.13153280881258
"Grettis"	1.00647071110196	0.73626553633985	0.739995490394007	0.65431610572537	0.925352010691167	0.728402527943731	0.822371175101378	0.631998672849911	0.693893339521593	0.731386381487737	0.720963439314044	0.685625814189276	0.765697081560609	0.797079521698441	1.05769380379442	1.02604216459548	0	0.865241000313892	0.891404282405415	0.870304309154827	0.988928006262948	0.848134545551258	0.748060521983112	0.637365358011714	0.725521169364573	0.883609242188934	0.829083833905576	0.908678354006767	1.08561956197851	0.818980253538047	0.876826002805261	0.806211544233501	1.29554102646197	0.698066718119986	0.928121439862424	0.748827992718447	1.20225259442831	0.869087945299124	0.720470219423534	0.719766410805005	0.79612907961475	1.05177956563578	0.977973670688685	0.988364447829444	0.647379588458634	0.779956749724638	0.851804744873163	0.818571394643782
"Gull-Þóris"	1.35906344234594	0.940765397096158	1.04247743138462	1.00510984591578	0.963007287701185	0.908823752706265	0.981953558078439	0.784049036616196	1.05026683346012	1.08842758614988	0.995249827544785	1.02592848198394	1.09336767929993	1.12976070991478	1.25457101206158	1.15368601607685	0.865241000313892	0	1.08581183035205	1.11986791848433	1.35495691643175	1.1411801691152	1.04072808429562	0.919711355422998	1.11318737434091	1.13737944383593	0.992269681540741	1.15050120444022	1.27598813344304	1.10261158018962	1.02543889098987	1.09936577414694	1.13235453861038	1.06009660722768	1.19772379913645	1.12685440173272	1.44647573825395	1.0823786971145	0.824668312209775	1.0152551027775	1.09355477173431	1.21457919125458	1.24701711408125	1.23476100756926	1.02577978000289	1.09806609165205	1.19034123247432	1.04178960598
"Gunnars"	1.33282947943895	0.965335923890016	1.09945106794552	1.03591419196402	1.04085818465912	0.991671702901671	1.14926875385194	1.01015396319459	0.983877500602737	1.04594062675127	0.99137111674187	1.04228884178162	1.0945846202941	1.09825885151803	1.35813968982188	1.15050350207124	0.891404282405415	1.08581183035205	0	1.14378944546481	1.25898309944118	1.10912945719927	1.0552350626725	0.952797466760186	1.01018179475645	1.21238655391956	1.1713933356078	1.22732259507551	1.14300440798394	0.99807297121881	1.0865415046003	1.12777535962332	1.53253334279759	1.07131218541593	1.18276342331686	1.1266552473574	1.44182178849126	1.14874451500812	1.11682554247722	0.997922334021172	1.05228724302042	1.26721041157661	1.31278120647149	1.2306461315236	1.02800287114951	1.09000925890607	0.995587171380878	1.06965287678754
"Gunnlaugs"	1.16898625535819	0.918422095886835	0.919273082835404	0.905685562666862	0.981276061761056	0.960529950423846	1.02524752247172	0.917269572541479	0.915222315141979	0.992283186350922	0.852939274784518	0.932806751921732	0.936317015936577	0.999261695989186	1.27147197415199	1.22007268882998	0.870304309154827	1.11986791848433	1.14378944546481	0	1.15320585902602	0.930102114947978	0.884589016518952	0.893984821743261	0.968821323796648	1.06518946828168	1.06565623361386	1.1100057274353	1.2463223464378	0.968733766503164	0.964930756134478	1.07511992699851	1.33568145297092	0.883788019710466	1.08223652562048	0.942956533669651	1.31563910575224	1.11758152449639	0.97439754692317	0.905386538946118	0.952829752109368	1.12947449516244	1.05502761961728	1.14378717766435	0.887107148740832	0.945754917458547	1.02008027211168	0.993698355474566
