"Bandamanna"	"Bárðar"	"Bjarnar"	"Brennu-Njáls"	"Droplaugarsona"	"Egla"	"Eiríks"	"Eyrbyggja"	"Finnboga"	"Fljótsdæla"	"Flóamanna"	"Fóstbræðra"	"Gísla Súrssonar L"	"Gísla Súrssonar S"	"Grænlendinga þáttur"	"Grænlendinga"	"Grettis"	"Gull-Þóris"	"Gunnars"	"Gunnlaugs"	"Hænsna-Þóris "	"Hallfreðar M"	"Hallfreðar Ó"	"Harðar og Hólmverja"	"Hávarðar"	"Heiðarvíga"	"Heimskringla"	"Hrafnkels"	"Íslendinga þættir"	"Jökuls þ"	"Kjalnesinga"	"Kormáks"	"Króka-Refs"	"Landnámabók"	"Laxdæla"	"Ljósvetninga A"	"Ljósvetninga C"	"Ölkofra"	"Reykdæla"	"Sturlunga"	"Svarfdæla"	"Þórðar hreðu"	"Þorsteins hvíta"	"Þorsteins S"	"Valla-Ljóts"	"Vatnsdæla "	"Víga-Glúms "	"Víglundar"	"Vopnfirðinga"
"Gísla Súrssonar L"	0.89807633054389	0.871629106667269	0.776371276564084	0.785433686069845	0.967320040532735	0.865580729770537	1.00032117571297	0.83027860671972	0.783001047080026	0.659467536198071	0.739299652944254	0.727031066397869	0	0.397771848846212	1.16345281329875	1.07893794828528	0.766582116336839	1.09739504484651	1.0962607105506	0.948301347243376	0.860787768529745	0.890446247998636	0.870064423435607	0.795454727078341	0.774273054299083	0.744352671848461	1.02060043686033	0.891749902708837	0.663036915537158	1.13829067811958	0.920303315734539	0.857838214010682	0.817810785902343	1.38052408675609	0.698776268411499	0.909313241524512	0.779364630316246	1.20115972523072	0.857952038161522	0.972481967038105	0.79829768436907	0.877088431351339	1.14721488890853	1.0154360406228	0.958402193278398	0.725285362899828	0.790197917681961	0.959224455867851	0.841297105086068
"Gísla Súrssonar S"	0.90878544758325	0.882534783639986	0.830691725809161	0.841168234790317	0.983068948036861	0.935913623815306	1.01694967610669	0.903682630161053	0.819686780904585	0.675468639695712	0.764807753604318	0.740976522450067	0.397771848846212	0	1.14584679498258	1.10053173938326	0.804661771385119	1.14159239879943	1.09645081494128	1.01200007225176	0.874874517333106	0.928933430998249	0.903654096886352	0.807795826053347	0.803476218172571	0.776035996342757	1.09742619733635	0.910150292569929	0.706977022199618	1.13847537211999	0.965847928428657	0.932515467453679	0.849243142363591	1.41776288435879	0.780114060464448	0.964516187768607	0.825843825438906	1.2380879234229	0.86343737545118	1.01918520687302	0.795896878935842	0.886614311081839	1.12900387884231	1.03815521824944	0.951359304299521	0.765344930995188	0.804187259339978	0.975336583153879	0.856558030473424
"Grænlendinga þáttur"	1.23055550843233	1.2132108106163	1.09395741614783	1.09337720387989	1.27565175940231	1.11960409270674	1.1834157608401	1.11663954682407	1.12649607570668	1.17718094085924	1.05994435830516	1.11580646461142	1.16345281329875	1.14584679498258	0	1.25625138853118	1.05476100187771	1.2481032997085	1.3676949356251	1.28402359204358	1.23760134132689	1.15668232981967	1.1171597879371	1.08484170850524	1.13199441838843	1.14515178065749	1.22052749936606	1.23232721989418	1.02788792807971	1.44918460048441	1.20730218456559	1.19751809321271	1.11833633912198	1.55782086918803	1.05370948745987	1.17727228151217	1.04620283048888	1.31817280698793	1.16739032305739	1.13702802040738	1.16960385036959	1.2261826256857	1.33583866970563	1.26705427210486	1.17242757455446	0.973597304529665	1.10384821098725	1.25253549287835	1.11272195166837
"Grænlendinga"	1.35685150874871	1.02065797312582	1.12806845574923	1.12038511054104	1.11997417560451	0.971292330026581	1.04717283036211	0.994476848607036	1.13666936289127	1.12159857300515	1.04474096391658	1.05731666932818	1.07893794828528	1.10053173938326	1.25625138853118	0	1.03550141332404	1.15509029260814	1.15618733590446	1.23712153346764	1.2568424776087	1.18048914286864	1.13231564072931	1.00785515293524	1.13609690418025	1.17993189602983	1.07386316557242	1.2628538301116	1.05700760494102	1.31544980081355	1.09985311145889	1.16097690838718	1.13144200372175	1.40871460970193	1.0456023784493	1.24775320241755	1.12702914173126	1.40132518227781	1.21390595206609	1.09978912847721	1.07715942182915	1.14349005950088	1.22992188449822	1.28196725061786	1.34526825521444	1.03323873080409	1.13651883307844	1.17714673780053	1.13806296474241
"Grettis"	1.01838162800931	0.740961944650699	0.738918477597316	0.67214730571465	0.929224488198468	0.727065940369638	0.831897352841888	0.63284543290253	0.689521504442142	0.734364588545853	0.723978247060295	0.686437695187131	0.766582116336839	0.804661771385119	1.05476100187771	1.03550141332404	0	0.864322127786568	0.891228672664223	0.882690921985714	0.998363942681265	0.857906287719549	0.757349176337442	0.641891065989684	0.72858077954419	0.88563379894975	0.831136583152942	0.91458389980409	0.60500578475732	1.09079396814552	0.83178159246123	0.878090022080079	0.813721538476455	1.30534680003753	0.691158706280357	0.928553292216092	0.746520233177948	1.21215659187075	0.875683581369885	0.72037448097796	0.7265720340725	0.800508822297508	1.06590900875442	0.974821231896029	1.01024007435682	0.643656393163479	0.782178502039991	0.85638827689005	0.817492906676573
"Gull-Þóris"	1.3701642926373	0.941613350243929	1.04407700889883	1.02210556399938	0.967061747003433	0.909957421422759	0.98201715580233	0.778400868239632	1.04990208220398	1.08705676858146	0.999580144004705	1.02655064809168	1.09739504484651	1.14159239879943	1.2481032997085	1.15509029260814	0.864322127786568	0	1.07906460871027	1.12755873756704	1.36976808592198	1.15068546021737	1.04953295626954	0.915908472339676	1.11493658582866	1.14715731639822	0.988707253978853	1.15507926218107	1.05343523104247	1.27845401359118	1.10474668051034	1.02891381676532	1.10542252013899	1.14039564145858	1.04587685137234	1.20503414009914	1.12259525363184	1.45440060699556	1.08460084065274	0.824186318668841	1.02046710184159	1.10615547143614	1.22192328551476	1.24541985677201	1.25430662955223	1.02560450614245	1.09598193096486	1.19090121619957	1.03947021159235
"Gunnars"	1.34573367186308	0.968506819470109	1.09838329501049	1.04118404273442	1.03886287365836	0.989422507341196	1.16047126882879	1.01656562806124	0.980378247970014	1.05138359170474	0.991278189867478	1.03892100719772	1.0962607105506	1.09645081494128	1.3676949356251	1.15618733590446	0.891228672664223	1.07906460871027	0	1.15748867460619	1.2597385953887	1.11187892533484	1.05747251613269	0.95276107500985	1.01397421232958	1.21376960353202	1.17116902404673	1.22996691336777	1.03453360695708	1.13947015205368	1.01257758669981	1.0902710059984	1.13374950193886	1.53664893359277	1.06016424934021	1.17798272226357	1.11833189248835	1.44957122154168	1.1536721180243	1.1099031021195	1.00044006830607	1.04604589514744	1.2788429277472	1.31005643966071	1.25216912823921	1.02655082722955	1.09366507451748	1.00096559396595	1.07520569883473
"Gunnlaugs"	1.19802373862954	0.930203395070403	0.935065960764545	0.921959926315552	0.986002620142302	0.973504738449272	1.04323892000516	0.938051876714119	0.918778432640918	1.00965148683747	0.869300345955882	0.947128306759884	0.948301347243376	1.01200007225176	1.28402359204358	1.23712153346764	0.882690921985714	1.12755873756704	1.15748867460619	0	1.16440612392985	0.937519636325952	0.891944130134057	0.905936095633568	0.990143851479895	1.07630319540327	1.07638905059867	1.12924074715688	0.80713917494643	1.25944901150875	0.984484309768579	0.982876629573042	1.08559267532204	1.35361083520672	0.885409015682848	1.09802312134844	0.947539719695524	1.33909141826191	1.13518727059916	0.980435597760877	0.927738953226008	0.962680180218983	1.15013138302236	1.06822398481494	1.18402422610456	0.89834048482498	0.961660063016733	1.03343435766622	1.00814824217661
"Hænsna-Þóris "	0.940322920075009	1.14785820164828	1.03864573714155	0.939408269458002	1.28364400704686	1.15657103786116	1.20815174157427	1.11152844842972	0.983504342335663	0.869960355021344	1.00040467116205	0.948390200103018	0.860787768529745	0.874874517333106	1.23760134132689	1.2568424776087	0.998363942681265	1.36976808592198	1.2597385953887	1.16440612392985	0	1.00653603208973	0.977919113224826	1.04254649520322	0.978617743449489	0.955123143463303	1.30135384630762	0.999054771419979	0.857455596172435	1.3301296785523	1.13669819836955	1.12263961617935	1.01364437813674	1.63174443082061	0.916119303052535	1.02759275668217	0.863476154924952	1.23614227393734	1.10976284177838	1.23934168999415	0.991996818897868	1.02455660185915	1.29963842818482	1.11258558161214	1.0654604305532	0.905055155397334	0.926183625659596	1.17044317893523	1.04849034032379
"Hallfreðar M"	1.1237057227285	0.98950864673341	0.875878825437909	0.851445731556486	1.04445517521662	0.955157753408401	1.07821880424127	0.968314015479419	0.940895499146063	0.962455861760397	0.845067805461814	0.882659970069224	0.890446247998636	0.928933430998249	1.15668232981967	1.18048914286864	0.857906287719549	1.15068546021737	1.11187892533484	0.937519636325952	1.00653603208973	0	0.621728168244763	0.895243412167082	0.976971155661429	1.00972176583377	1.09936657070194	1.05690802040373	0.761549059778684	1.23624292664232	0.931914857222889	0.938223877609572	1.00642240014449	1.42882092687873	0.877927221198192	0.994491549589282	0.848102390500789	1.22988274283273	1.01042596381233	1.03252812627892	0.917684381963756	0.935242357435718	1.18599340926421	1.07722184873476	0.996922509527643	0.796916020235329	0.868307129694464	1.05821832218609	0.937442857374082
